Question,Answer,Site,Hotel,Hotel_ID,Date
"I stayed last year and had a great time so looking to book again, does anyone have a email address for the hotel so I get a direct rate?",Nick Shah is the General Manager at the hotel and his email address is gm.fl432@gmail.com,TripAdvisor,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
Do you accept service dogs in training?,"Yes, we do accept service dogs in training at our hotel.",TripAdvisor,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
Is this hotel within an easy drive to Key Largo - thinking about spending some time diving and wondering if this would be better as our accommodation?,"We are about 20 miles from Key Largo. We're located on US-Highway-1 you just have to drive straight South to Key Largo, its a very easy drive don't worry.",TripAdvisor,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
"Can I have a package delivered from Amazon to the hotel to collect during my stay and if yes, is there a cost for this service? Is there any fee for Internet shopping delivery in the hotel?","You may have something personal shipped to the hotel for pickup during your stay, and this is possible at no cost to you. Nevertheless, please try to put the date of your arrival on the package if you can. Also, please try and ensure your reservation name matches the package name. We do not charge the guest if they order something online and if they deliver in the hotel, we will keep the package in the office and upon arrival please ask the Front Desk and they will give it to you.  If you put a passcode for the delivery of an item, please be sure to communicate it to the Front Desk, prior to the delivery of your package, so that we can successfully accept the package on your behalf; otherwise, the delivery company will not give us the package and you may have to go to the delivery company's office to pick it up.",TripAdvisor,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
Are you pet friendly?,"Sorry, we are not pet friendly.",TripAdvisor,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
Do you offer late check-out on request?,"Yes, we offer late checkout based on availability. Late check-out is available for a fee (amount may vary, and is subject to availability). If you checkout by 12 PM - it is free.  For every hours past 12 PM it is $10 plus tax, per hour up to 3 PM.  After 3 PM, it is a full day's charge.",TripAdvisor,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
Do you offer early check-in on request?  What about storing luggage if a room is not ready yet?,"Yes, we offer early check-in based on availability.   We also offer a luggage service for guests if you arrive early (in case, we do not have a room ready for early check-in) and want to visit a local attraction without taking you luggage with you everywhere. We will keep your luggage secured at the hotel prior to your check-in, so that you can visit local attractions without any stress about leaving your luggage unattended in your vehicle.",TripAdvisor,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
How old must you be to book a room?,The age requirement for renting a room is 21 and over.,TripAdvisor,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
Do you have in-room safes or a safety deposit box at the front desk?,"There is an office/front desk safe available to guests.  Not all rooms, however, have a safe.  Please ensure to unlock the safe before you check out.",TripAdvisor,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
Are there any car rental/hire firms within walking distance of the hotel?,"There are no car rental companies within walking distance of the hotel.  However, Avis, Budget, and Enterprise within 5 miles. Those locations might be willing to pick you up from the hotel; you may call them to ask.",TripAdvisor,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
How far are you from the Walmart there?,Walmart Supercenter is a 5 minute drive from us.,TripAdvisor,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
Can your hotel accommodate 2 adults and 5 children? Kids ages range from 1yr old to 9yrs. I'm having trouble finding affordable hotels that can?,The maximum we allow is 5 for which you would have to rent a rollaway bed at $10.00 plus tax per night. We have rooms with 2 Double beds and rooms with 2 Queen beds.  The rollaway bed would fit in those rooms.,TripAdvisor,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
"Are rollaway beds available, and if so, is there a fee?","Yes, rollaway beds are available for $10.00 plus tax per night.",TripAdvisor,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
Is the hotel pet friendly?,"We used to be pet-friendly, but we are now we are not pet friendly anymore.",TripAdvisor,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
How far is it to Key West from this hotel?,"Depending on the traffic drive times to Key West are between 3 and 4 hours. The driving distance is 125 miles.
",TripAdvisor,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
What are the local places to visit?,"Go visit 'Robert is Here' roadside fruit market - ask our front desk for a map with directions. Spend an hour or so looking at the amazing displays of exotic fruits and small animal enclosure at the back - free, to wander round. It's only a mile or so from the Quality Inn. They do the most amazing fresh fruit milkshakes, that you need a spoon to eat!
Also, visit the Fruit and Spice Park at Krome and Coconut Palm, about 10 miles due north of Homestead, then go east on Coconut Palm about 6 miles to Knaus Berry Farm for home baked goods and milkshakes.  Knaus Berry Farm is a seasonally-open business, so please make sure they are open before heading that way. When they are open, at about 11 AM, hot cinnamon roles come off and are not to be missed.
Another ""do not miss"" place is the Royal Palm Visitor Center of Everglades National Park.  Also nearby are Biscayne National Park, Schnebly Redland's Winery, Schnebly Miami Brewery, Homestead-Miami Speedway, the Florida Keys, Everglades Alligator Farm, Seminole Theater, Coral Castle, Sky Dive Miami and RF Orchids.",TripAdvisor,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
Would you receive online purchases one week before my stay?,"Yes, we can hold your packages in advance until your arrival at our hotel. Please make sure the packages match the name on your reservations. If you have any other questions you may contact the hotel directly.",TripAdvisor,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
Do the rooms have a microwave?,"Yes, we have a microwave in each room.",TripAdvisor,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
Are there self-service washing machines and dryers?,"Yes, we have a guest coin laundry with 3 washing machines and 3 dryers.  They are located in the hallway next to the pool area.  You can get the quarters (coins) to operate them at the front desk.  We also sell detergent and dryer sheet fabric softeners at the front desk.  You may ask us for a roll of quarters - a roll contains $10 worth of quarters.",TripAdvisor,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
Is this hotel safe? Can you leave suitcases and shopping bags in the room and not lose them?  ,"We have nighttime security.  Nevertheless, it is advisable to ensure your car is locked and that your belongings are secured.",TripAdvisor,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
Is it very complicated to go to Miami Beach from there?,Miami is easy to reach with a car.  Miami beach is about a 1 hour drive from our hotel.,TripAdvisor,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
Which carriers do you receive packages from?,"We receive packages from following carrier DHL, UPS, USPS and FedEx.",TripAdvisor,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
Is there any fee for parking?,"There is no fee for parking.  For some rooms, you can park directly in front of the room.",TripAdvisor,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
How to get there from the Miami International Airport?,"The Ronald Regan Turnpike South is the fastest route from the airport to our hotel; the Turnpike will merge onto U.S. Highway 1 in Florida City.  When you enter Florida City, the Quality Inn hotel is located on the left behind the Denny's Restaurant.  You will not see our hotel from U.S. Highway 1, since the gas stations and Denny's Restaurant are in front of us.",TripAdvisor,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
Is it possible to reserve connecting rooms?,"You can call the hotel directly and we can confirm your reservations and have your rooms assign to connecting rooms.  If we are not able to assign connecting rooms to you, we can try and ensure the rooms assigned are side by side or close together.  We have a limited number of connecting rooms, so connecting-room-assignment is based on availability.",TripAdvisor,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
"We (two mums) plan to travel together with three kids (7, 11 and 15 years) would it be possible to stay in one room with an extra bed or does this hotel have a 4-persons-maximun policy.",Our hotel policy is 4 persons to a room but we do make exceptions for our guests. Any children over the age of 13 are considered an adult but we do have rooms in our Interior Building which are larger with 2 Queen beds and even 2 King beds. We can accommodate you with a rollaway bed for an additional charge.,TripAdvisor,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
How to get there from the airport?,"The Ronald Regan Turnpike South is the fastest route from the airport to our hotel; the Turnpike will merge onto U.S. Highway 1 in Florida City.  When you enter Florida City, the Quality Inn hotel is on the left behind the Denny's Restaurant.  You will not see our hotel from U.S. Highway 1, since the gas stations and Denny's Restaurant are in front of us.",TripAdvisor,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
"My family and I plan to take a red-eye flight to Florida and stay at your hotel for several nights in December. Would we be able to check in early if there is an empty room available the morning of our stay? If not, where is the best place to hang out while waiting for check in?","Please call me between 10am-4pm The front desk staff is ready to assist you depending on the date of arrival and based on availability.

Christmas holidays and weekends are busy, however, if you call and ask to speak with the manager, we will try to make some arrangements and will do our best to get you checked in as early as possible.
",TripAdvisor,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
Do you have a fitness center?,"Yes, we do have a fitness center. It is located in our lobby adjacent to our breakfast area. The fitness area is equipped with a couple of stationary bikes and a treadmill. There is also a bench and weights.",TripAdvisor,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
Are pets accepted?,"No, we are not pet friendly.",TripAdvisor,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
Do you have the airport-hotel transfer service?,"No, we do not have a shuttle service (no airport shuttle, and no local shuttle); best to use Uber of Lyft.",TripAdvisor,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
What is the distance between the hotel and Miami International Airport?,"Miami International Airport is 35 miles from our hotel.  Fort Lauderdale-Hollywood International Airport is 60 miles from our hotel.  Miami International Airport is about 30 miles north of us, but due to traffic maybe 45 minutes to an hour drive.  Plan for the possibility of extra drive time once you get your rental car.",TripAdvisor,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
Is your pool heated?,Our swimming pool is seasonally heated.,Booking.com,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
Are the rooms soundproofed?,"Yes, but if the TV is really on high volume or people are talking excessively loudly, you can hear in adjacent rooms and corridors.",Booking.com,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
When is the latest check in time? We are about to arrive at Homestead around 2:00 A.M. in the morning. Can we still check in at that time?,"Yes, we hold the rooms until 7am.",Booking.com,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
Do you have an outdoor grill on the property for guest use?,"Yes, we do have an outdoor grill on the property and a very nice tiki hut with tables and chairs.",Booking.com,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
What are the pool hours. Are you strict with pool hours or can kids jump in around 9pm.,"The swimming pool is open from dawn to dusk, daily.",Booking.com,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
Do you have truck parking?,"We do provide truck parking. Nevertheless, it is strongly advisable for you to give us a call before checking in, so we can reserve your parking spot based on availability.",Booking.com,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
Can you smoke on property? I understand no smoking in room or inside. ,"All of our rooms are non-smoking. We have a variety of tiki huts on our property where you will be able to smoke.  Please be mindful of neighbors when smoking, especially the air conditioner intakes outside each room.  Smoking too close to a neighbors air conditioner intake can cause smoke to drift into their room.",Booking.com,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
Do you have to give a deposit? And if so how much would it be? And is it refundable? ,There is a deposit of $200 if you pay in cash or debit card.  The deposit is refundable as long as the room has no smoke smell or has no damage.,Booking.com,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
I am going to have a pickup truck with a trailer attached. Do you have a spot for me to park?,"Yes, we have parking for a pickup truck with trailer. Please let us know how long the trailer is and call us ahead of time so we can make appropriate parking arrangements? ",Booking.com,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
Do all your rooms have air conditioners?,All our rooms have air conditioning units.,Booking.com,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
Is breakfast included in the room rate?,"A hot buffet breakfast is included; in fact, breakfast is complementary.",Booking.com,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
Is an emotional support dog allowed?,Our property is not pet friendly but we do allow service animals. We do require a signed wavier at time of check in.,Booking.com,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
How far are you from the Everglades National park entrance?,We are about a 10 to 12 minute drive from the Everglades National Park entrance.,Booking.com,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
Does the property have an elevator?,"The hotel has 2 stories; however, there is no elevator.",Booking.com,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
What time is check-in?,"Check-in is from 2:00 PM - 6 AM. A fee applies for early check-in (amount may vary, subject to availability). Late check-in is available during limited hours.",Expedia,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
What time is check-out?,"Check-out is at 11 AM. Late check-out is available for a fee (amount may vary, subject to availability). If you checkout by 12 PM - it is free.  For every hours past 12 PM it is $10 plus tax, per hour up to 3 PM.  After 3 PM, it is a full day's charge.",Expedia,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
How far is the hotel from the Florida Keys?,"Situated near a national park, this hotel is 0.5 mi (0.8 km) from Florida Keys Outlet Marketplace and within 6 mi (10 km) of Homestead-Miami Speedway and Coral Castle Museum. Fruit and Spice Park and Homestead Air Force Base are also within 9 mi (15 km).",Expedia,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
Do you offer military discount?,We do have military discount.,Website,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
What is the hotel's name?,The hotel's name is Quality Inn Florida City - Gateway to the Keys.,Website,Quality Inn Florida City-Homestead,acfad1dd-2570-4900-a5c2-8f496f88527c,9/25/23
