Question,Answer,Site,Hotel,Hotel_ID,Date
"I stayed last year and had a great time so looking to book again, does anyone have a email address for the hotel/Sunny so I get a direct rate?",Sunny Patel is the General Manager at the hotel and his email address is lflsunny@gmail.com,TripAdvisor,Travelodge Florida City-Homestead,32c52141-e66a-4019-9947-286d2b82f1b4,9/25/23
Do you accept service dogs in training?,We do accept service dogs in training at our hotel.,TripAdvisor,Travelodge Florida City-Homestead,32c52141-e66a-4019-9947-286d2b82f1b4,9/25/23
Is this hotel within an easy drive to Key Largo - thinking about spending some time diving and wondering if this would be better as our accommodation?,"We are about 20 miles from Key Largo. We're located on US-Highway-1 you just have to drive straight South to Key Largo, its a very easy drive don't worry.",TripAdvisor,Travelodge Florida City-Homestead,32c52141-e66a-4019-9947-286d2b82f1b4,9/25/23
"Can I have a package delivered from Amazon to the hotel to collect during my stay and if yes, is there a cost for this service? Is there any fee for Internet shopping delivery in the hotel?","You may have something personal shipped to the hotel for pickup during your stay, and this is possible at no cost to you. Nevertheless, please try to put the date of your arrival on the package if you can. Also, please try and ensure your reservation name matches the package name. We do not charge the guest if they order something online and if they deliver in the hotel, we will keep the package in the office and upon arrival please ask the Front Desk and they will give it to you.  If you put a passcode for the delivery of an item, please be sure to communicate it to the Front Desk, prior to the delivery of your package, so that we can successfully accept the package on your behalf; otherwise, the delivery company will not give us the package and you may have to go to the delivery company's office to pick it up.",TripAdvisor,Travelodge Florida City-Homestead,32c52141-e66a-4019-9947-286d2b82f1b4,9/25/23
Are you pet friendly?,"Sorry, we are not pet friendly.",TripAdvisor,Travelodge Florida City-Homestead,32c52141-e66a-4019-9947-286d2b82f1b4,9/25/23
Do you offer late check-out on request?,"We offer late checkout based on availability. Late check-out is available for a fee (amount may vary, subject to availability). If you checkout by 12 PM - it is free.  For every hours past 12 PM it is $10 plus tax, per hour up to 3 PM.  After 3 PM, it is a full day's charge.",TripAdvisor,Travelodge Florida City-Homestead,32c52141-e66a-4019-9947-286d2b82f1b4,9/25/23
Do you offer early check-in on request?  What about storing luggage if a room is not ready yet?,"We offer early check-in based on availability.   We also offer a luggage service for guests if you arrive early (in case, we do not have a room ready for early check-in) and want to visit a local attraction without taking you luggage with you everywhere. We will keep your luggage secured at the hotel prior to your check-in, so that you can visit local attractions without any stress about leaving your luggage unattended in your vehicle.",TripAdvisor,Travelodge Florida City-Homestead,32c52141-e66a-4019-9947-286d2b82f1b4,9/25/23
How old must you be to book a room?,The age requirement for renting a room is 21 and over.,TripAdvisor,Travelodge Florida City-Homestead,32c52141-e66a-4019-9947-286d2b82f1b4,9/25/23
Do you have in-room safes or a safety deposit box at the front desk?,"There is an office/front desk safe available to guests.  Not all rooms, however, have a safe.  Please ensure to unlock the safe before you check out.",TripAdvisor,Travelodge Florida City-Homestead,32c52141-e66a-4019-9947-286d2b82f1b4,9/25/23
Are there any car rental/hire firms within walking distance of the hotel?,"There are no car rental companies within walking distance of the hotel.  However, Avis, Budget, and Enterprise within 5 miles. Those locations might be willing to pick you up from the hotel; you may call them to ask.",TripAdvisor,Travelodge Florida City-Homestead,32c52141-e66a-4019-9947-286d2b82f1b4,9/25/23
How far are you from the Walmart there?,Walmart Supercenter is a 5 minute drive from us.,TripAdvisor,Travelodge Florida City-Homestead,32c52141-e66a-4019-9947-286d2b82f1b4,9/25/23
Can your hotel accommodate 2 adults and 5 children? Kids ages range from 1yr old to 9yrs. I'm having trouble finding affordable hotels that can?,The maximum we allow is 5 for which you would have to rent a rollaway bed at $10.00 plus tax per night. We have rooms with 2 Double beds and rooms with 2 Queen beds.  The rollaway bed would fit in those rooms.,TripAdvisor,Travelodge Florida City-Homestead,32c52141-e66a-4019-9947-286d2b82f1b4,9/25/23
"Are rollaway beds available, and if so, is there a fee?",Rollaway beds are available for $10.00 plus tax per night.,TripAdvisor,Travelodge Florida City-Homestead,32c52141-e66a-4019-9947-286d2b82f1b4,9/25/23
Is the hotel pet friendly?,"We used to be, but we are now we are not pet friendly anymore.",TripAdvisor,Travelodge Florida City-Homestead,32c52141-e66a-4019-9947-286d2b82f1b4,9/25/23
How far is it to Key West from this hotel?,"Depending on the traffic drive times to Key West are between 3 and 4 hours. The driving distance is 125 miles.
",TripAdvisor,Travelodge Florida City-Homestead,32c52141-e66a-4019-9947-286d2b82f1b4,9/25/23
What are the local places to visit?,"Go visit 'Robert is Here' roadside fruit market - ask our front desk for a map with directions. Spend an hour or so looking at the amazing displays of exotic fruits and small animal enclosure at the back - free, to wander round. It's only a mile or so from the Travelodge. They do the most amazing fresh fruit milkshakes, that you need a spoon to eat!
Also, visit the Fruit and Spice Park at Krome and Coconut Palm, about 10 miles due north of Homestead, then go east on Coconut Palm about 6 miles to Knaus Berry Farm for home baked goods and milkshakes.  Knaus Berry Farm is a seasonally-open business, so please make sure they are open before heading that way. When they are open, at about 11 AM, hot cinnamon roles come off and are not to be missed.
Another ""do not miss"" place is the Royal Palm Visitor Center of Everglades National Park.  Also nearby are Biscayne National Park, Schnebly Redland's Winery, Schnebly Miami Brewery, Homestead-Miami Speedway, the Florida Keys, Everglades Alligator Farm, Seminole Theater, Coral Castle, Sky Dive Miami and RF Orchids.",TripAdvisor,Travelodge Florida City-Homestead,32c52141-e66a-4019-9947-286d2b82f1b4,9/25/23
Would you receive online purchases one week before my stay?,We can hold your packages in advance until your arrival at our hotel. Please make sure the packages match the name on your reservations. If you have any other questions you may contact the hotel directly.,TripAdvisor,Travelodge Florida City-Homestead,32c52141-e66a-4019-9947-286d2b82f1b4,9/25/23
Do the rooms have a microwave?,We have a microwave in each room.,TripAdvisor,Travelodge Florida City-Homestead,32c52141-e66a-4019-9947-286d2b82f1b4,9/25/23
Are there self-service washing machines and dryers?,"Yes, we have a guest coin laundry with 2 washing machines and 2 dryers.  They are both in the pool area, so the hours of operation are subject to the pool hours.  You can get the quarters (coins) to operate them at the front desk.  We also sell detergent and dryer sheet fabric softeners at the front desk.  Please ask us for a roll of quarters - a roll contains $10 worth of quarters.",TripAdvisor,Travelodge Florida City-Homestead,32c52141-e66a-4019-9947-286d2b82f1b4,9/25/23
Is this hotel safe? Can you leave suitcases and shopping bags in the room and not lose them?  ,"We have nighttime security.  Nevertheless, it is advisable to ensure your car is locked and that your belongings are secured.",TripAdvisor,Travelodge Florida City-Homestead,32c52141-e66a-4019-9947-286d2b82f1b4,9/25/23
Is it very complicated to go to Miami Beach from there?,Miami is easy to reach with a car.  Miami beach is about a 1 hour drive from our hotel.,TripAdvisor,Travelodge Florida City-Homestead,32c52141-e66a-4019-9947-286d2b82f1b4,9/25/23
Which carriers do you receive packages from?,"We receive packages from following carrier DHL, UPS, USPS and FedEx.",TripAdvisor,Travelodge Florida City-Homestead,32c52141-e66a-4019-9947-286d2b82f1b4,9/25/23
Is there any fee for parking?,"There is no fee for parking.  Also, parking is available directly in front of your room.  We are a single-story hotel, so all our rooms are at the ground-floor level.",TripAdvisor,Travelodge Florida City-Homestead,32c52141-e66a-4019-9947-286d2b82f1b4,9/25/23
